Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
8486.0,Colombia,Armenia,66.0,Moderate,1.0,Good,19.0,Good,1.0,Good,66.0,L1,174.1709532,-4.930573163,L1
8487.0,India,Arsikere,62.0,Moderate,1.0,Good,31.0,Good,5.0,Good,62.0,L1,150.1536631,-3.271738701,L1
8488.0,United States of America,Arvada,52.0,Moderate,1.0,Good,23.0,Good,7.0,Good,52.0,L1,140.7114124,9.655848313,L1
8489.0,Mauritania,Atar,50.0,Unhealthy,1.0,Good,32.0,Good,0.0,Good,50.0,L3,130.39634565,-0.108695715,L3
8490.0,France,Avion,47.0,Good,1.0,Good,38.0,Good,1.0,Good,47.0,L0,135.1666125,0.436770775,L0
8491.0,Brazil,Bady Bassitt,55.0,Moderate,1.0,Good,27.0,Good,0.0,Good,55.0,L1,132.7893797,-2.514212611,L1
8492.0,Brazil,Maribondo,24.0,Good,1.0,Good,24.0,Good,0.0,Good,16.0,L0,63.86841506,-0.024739447,L0
8493.0,Brazil,Marica,60.0,Moderate,1.0,Good,31.0,Good,2.0,Good,60.0,L1,149.4472691,2.053419682,L1
8494.0,Germany,Marienheide,54.0,Moderate,1.0,Good,46.0,Good,0.0,Good,54.0,L1,130.1247704,-0.887303438,L1
8495.0,Poland,Marki,40.0,Good,1.0,Good,40.0,Good,0.0,Good,27.0,L0,112.4131982,-1.465413724,L0
8496.0,United States of America,Marlborough,46.0,Good,1.0,Good,41.0,Good,1.0,Good,46.0,L0,125.3545875,5.393315461,L0
8497.0,Tunisia,Masakin,103.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Unhealthy for Sensitive Groups,0.0,Good,52.0,L1,274.590102,-0.238346334,L1
8498.0,Italy,Massarosa,76.0,Moderate,1.0,Good,31.0,Moderate,0.0,Good,37.0,L0,177.2012489,0.768438715,L0
8499.0,United Republic of Tanzania,Maswa,24.0,Good,1.0,Good,19.0,Good,1.0,Good,24.0,L0,75.64170702,-7.131391734,L0
8500.0,Brazil,Matriz De Camaragibe,24.0,Good,1.0,Good,24.0,Good,0.0,Good,15.0,L0,90.05448905,11.69100121,L0
8501.0,India,Mau Aima,50.0,Unhealthy,1.0,Good,31.0,Moderate,7.0,Good,50.0,L3,130.39634565,13.90912015,L3
8502.0,United States of America,Mayfield,70.0,Moderate,1.0,Good,50.0,Good,1.0,Good,70.0,L1,198.9514861,1.325969733,L1
8503.0,Democratic Republic of the Congo,Mbanza Ngungu,84.0,Moderate,1.0,Good,45.0,Good,0.0,Good,84.0,L1,212.3683873,1.104595322,L1
8504.0,United Republic of Tanzania,Mbulu,22.0,Good,1.0,Good,31.0,Good,0.0,Good,22.0,L0,46.27590262,2.054443986,L0
8505.0,Saudi Arabia,Mecca,50.0,Unhealthy,1.0,Good,31.0,Moderate,0.0,Good,50.0,L3,130.39634565,3.717332052,L3
8506.0,United States of America,Mentor,58.0,Moderate,1.0,Good,36.0,Good,3.0,Good,58.0,L1,160.4820397,-2.579832848,L1
8507.0,Belgium,Merelbeke,49.0,Good,1.0,Good,37.0,Good,1.0,Good,49.0,L0,119.1182352,-8.952681145,L0
8508.0,Russian Federation,Metallostroy,29.0,Good,1.0,Good,29.0,Good,2.0,Good,15.0,L0,71.49661341,1.169620462,L0
8509.0,France,Metz,69.0,Moderate,1.0,,55.0,Moderate,0.0,Good,69.0,L1,183.4353943,-4.016872654,L1
8510.0,Brazil,Miguel Calmon,21.0,Good,1.0,Good,20.0,Good,0.0,Good,21.0,L0,57.53060117,2.856899734,L0
8511.0,Russian Federation,Minusinsk,32.0,Good,1.0,Good,24.0,Good,3.0,Good,32.0,L0,90.84622952,4.690407833,L0
8512.0,Italy,Modena,65.0,Moderate,1.0,Good,31.0,Moderate,0.0,Good,63.0,L1,169.8782954,-1.066063492,L1
8513.0,Germany,Moers,51.0,Moderate,1.0,Good,31.0,Good,1.0,Good,51.0,L1,137.2962532,1.127078662,L1
8514.0,Hungary,Mohacs,65.0,Moderate,1.0,Good,31.0,Moderate,0.0,Good,51.0,L1,163.1769881,12.61520846,L1
8515.0,Italy,Montebelluna,83.0,Moderate,1.0,Good,54.0,Moderate,0.0,Good,83.0,L1,214.8173094,7.675642631,L1
8516.0,Colombia,Monteria,43.0,Good,1.0,Good,19.0,Good,0.0,Good,43.0,L0,103.2262699,1.538736146,L0
8517.0,Mexico,Monterrey,85.0,Moderate,1.0,Good,23.0,Good,6.0,Good,85.0,L1,230.3843362,17.05979663,L1
8518.0,Uruguay,Montevideo,26.0,Good,1.0,Good,31.0,Good,1.0,Good,22.0,L0,63.65725283,-3.98468706,L0
8519.0,Canada,Moose Jaw,35.0,Good,1.0,Good,25.0,Good,0.0,Good,35.0,L0,103.7884749,-0.263473624,L0
8520.0,Brazil,Morada Nova,23.0,Good,1.0,Good,23.0,Good,0.0,Good,20.0,L0,60.16393039,1.447429146,L0
8521.0,Romania,Moreni,56.0,Moderate,1.0,,42.0,Good,0.0,Good,56.0,L1,147.0199901,-3.855035327,L1
8522.0,United States of America,Morgan Hill,43.0,Good,1.0,Good,32.0,Good,3.0,Good,43.0,L0,107.5503545,12.75154582,L0
8523.0,Belgium,Morlanwelz,55.0,Moderate,1.0,Good,42.0,Good,1.0,Good,55.0,L1,132.3400457,4.715760194,L1
8524.0,Venezuela (Bolivarian Republic of),Moron,85.0,Moderate,1.0,Good,43.0,Good,0.0,Good,85.0,L1,200.0523961,-0.149744284,L1
8525.0,Brazil,Mossoro,23.0,Good,1.0,Good,23.0,Good,0.0,Good,22.0,L0,51.94675841,4.238934757,L0
8526.0,Brazil,Mucuri,28.0,Good,1.0,Good,28.0,Good,0.0,Good,28.0,L0,71.76091147,2.730279241,L0
8527.0,Germany,Muhldorf,71.0,Moderate,1.0,,31.0,Moderate,0.0,Good,71.0,L1,184.6187918,2.276744579,L1
8528.0,Malawi,Mulanje,58.0,Moderate,1.0,Good,31.0,Good,0.0,Good,58.0,L1,160.1037931,-2.242575834,L1
8529.0,India,Mundwa,50.0,Very Unhealthy,1.0,Good,29.0,Good,2.0,Good,50.0,L4,130.39634565,-3.381059628,L4
8530.0,Italy,Mussomeli,54.0,Moderate,1.0,Good,54.0,Moderate,0.0,Good,50.0,L0,131.1803924,14.73400499,L0
8531.0,Japan,Mutsu,46.0,Good,1.0,Good,38.0,Good,1.0,Good,46.0,L0,105.5728521,-2.963674426,L0
