Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2
11048.0,Panama,Sabanitas,69.0,Moderate,1.0,Good,22.0,Good,4.0,Good,69.0,L1,11.89572277
11049.0,Saudi Arabia,Safwah,50.0,Unhealthy,1.0,Good,31.0,Unhealthy for Sensitive Groups,0.0,Good,50.0,L3,5.783844294
11050.0,France,Saint Etienne Du Rouvray,66.0,Moderate,1.0,,31.0,Good,3.0,Good,66.0,L1,13.96891256
11051.0,France,Saint Mande,72.0,Moderate,1.0,Good,27.0,Good,6.0,Good,72.0,L1,7.876509517
11052.0,,Ramsgate,40.0,Good,1.0,Good,40.0,Good,1.0,Good,10.0,L0,-0.036656464
11053.0,India,Rangapara,74.0,Moderate,1.0,Good,48.0,Good,0.0,Good,74.0,L1,17.04151497
11054.0,United States of America,Raymore,50.0,Good,1.0,Good,33.0,Good,7.0,Good,50.0,L0,3.175909913
11055.0,United States of America,Red Bank,72.0,Moderate,1.0,Good,17.0,Good,1.0,Good,72.0,L1,0.325538841
11056.0,Burkina Faso,Reo,49.0,Good,1.0,Good,18.0,Good,0.0,Good,49.0,L0,15.41864332
11057.0,India,Repalle,55.0,Moderate,1.0,Good,42.0,Good,0.0,Good,55.0,L1,0.134415569
11058.0,United States of America,Rexburg,41.0,Good,1.0,Good,21.0,Good,3.0,Good,41.0,L0,-0.06194716
11059.0,Germany,Rheinbach,58.0,Moderate,1.0,Good,34.0,Good,3.0,Good,58.0,L1,1.04264746
11060.0,,Rianxo,25.0,Good,1.0,Good,22.0,Good,3.0,Good,25.0,L0,4.623132067
11061.0,Bolivia (Plurinational State of),Riberalta,35.0,Good,1.0,Good,3.0,Good,0.0,Good,35.0,L0,8.454306987
11062.0,Mexico,Rincon De Tamayo,45.0,Good,1.0,Good,27.0,Good,2.0,Good,45.0,L0,-9.443958068
11063.0,Brazil,Rio Verde De Mato Grosso,14.0,Good,1.0,Good,4.0,Good,0.0,Good,14.0,L0,8.432502427
11064.0,Italy,Rivalta Di Torino,58.0,Moderate,1.0,Good,35.0,Good,2.0,Good,58.0,L1,1.027326988
11065.0,China,Rizhao,50.0,Unhealthy,1.0,Good,43.0,Good,4.0,Good,50.0,L3,7.135527784
